0	1
jaroWinkler(b.foaf:name,a.am:name|0.9)	The link will be generated if the names of the source and target have a Jaro-Winkler similarity of at least 0.9.
jaroWinkler(b.am:name,a.rdfs:label|0.9)	The link will be generated if the names of the source and target have a Jaro-Winkler similarity score greater than or equal to 0.9.
jaroWinkler(b.am:name,a.foaf:name|0.9)	The link will be generated if the names of the source and target have a Jaro-Winkler similarity of at least 0.9.
average(wgs84(b.wgs84:lat/wgs84:long,a.wgs84:lat/wgs84:long|0.9),max(levenshtein(b.rdfs:label,a.geonames:name|0.9),levenshtein(b.rdfs:label,a.geonames:alternateName|0.9)))	The link will be generated if the coordinates of the source and the target have minimum wgs84 distance within a radius of 0.9 kilometers, or the labels of the source and the target have minimum levenshtein distance, or the labels of the source and the target have minimum levenshtein distance with alternate names.
average(equality(b.dbpp:name[@lang='en'],a.dcterms:title|0.85),equality(b.dbpp:isbn,a.bibo:isbn10|0.85))	The link will be generated if the name in English of the source and the title of the target have maximum similarity, or the ISBN of the source and the ISBN10 of the target have maximum similarity.
ADD(0.333333333333333333*Equality(a.bibliographic:has_created.dcterms:title, b\dbpediaowl:author.dbpp:name[@lang='en']), 0.333333333333333333*trigrams(a.foaf:name, b.foaf:name), 0.333333333333333333*Equality(a.bibliographic:hasCreated.bibo:isbn10, b\dbpediaowl:author.dbpp:isbn))	The link will be generated if the title of the source and the author's name of the target have a similarity of at least 0.333, the names of the source and target have a trigrams similarity of at least 0.333, and the ISBN10 of the source and the ISBN of the target have a similarity of at least 0.333.
average(equality(b.dbpediaowl:author,a.bibliographic:has_created|0.65),jaroWinkler(b.foaf:name,a.foaf:name|0.65),equality(b.dbpediaowl:author,a.bibliographic:hasCreated|0.65))	The link will be generated if the authors of the source and target are the same, the names of the source and target have high jaroWinkler similarity, or the authors of the source and target are the same.
average(equality(b.dbpp:isbn,a.bibo:isbn10|0.95))	The link will be generated if the ISBN of the source and the ISBN10 of the target have a similarity of at least 0.95.
MAX(Jaro(a.rdfs:label, b.akt:full-name))	The link will be generated if the labels of the source and the target have maximum Jaro similarity.
max(jaro(b.akt:full-name,a.rdfs:label|0.90))	The link will be generated if the full name of the source and the label of the target have a Jaro similarity of at least 0.90.
average(wgs84(b.wgs84:lat/wgs84:long,a.wgs84:lat/wgs84:long|0.9),max(jaro(b.rdfs:label,a.rdfs:label|0.9)))	The link will be generated if the coordinates of the source and the target have an average distance of 0.9 kilometers, or the labels of the source and the target have a jaro similarity of at least 0.9.
max(equality(b.bibo:isbn10,a.bibo:isbn|0.60),equality(b.bibo:isbn13,a.bibo:isbn|0.60),equality(b.bibo:isbn,a.bibo:isbn|0.60))	The link will be generated if the ISBN10 of the source and the ISBN of the target are equal, or the ISBN13 of the source and the ISBN of the target are equal, or the ISBN of the source and the ISBN of the target are equal, with a minimum similarity threshold of 0.60.
