0	1
average(equality(b.admingeo:hasCensusCode,a.traffic:countPointDistrict|0.90))	The link will be generated if the census code of the source (b.admingeo) is equal to the count point district of the target (a.traffic) with a minimum similarity of 0.9.
ADD(0.5*MAX(Jaro(a.geonames:name, b.rdfs:label), Jaro(a.geonames:alternateName, b.rdfs:label)), 0.5*WGS84(a.wgs84:lat, b.wgs84:lat))	The link will be generated if the name or alternate name of the source matches the label of the target at least 50% according to the Jaro similarity, and the latitudes of the source and target are close to each other.
ADD(0.5*MAX(Jaro(a.geonames:name, b.rdfs:label), Jaro(a.geonames:alternateName, b.rdfs:label)), 0.5*WGS84(a.wgs84:lat, b.wgs84:lat))	The link will be generated if the name or alternate name of the source has at least 50% Jaro similarity with the label of the target, or the latitude of the source and target have at least 50% WGS84 similarity.
average(wgs84(b.wgs84:lat/wgs84:long,a.wgs84:lat/wgs84:long|0.9),max(jaro(b.rdfs:label,a.geonames:name|0.9),jaro(b.rdfs:label,a.geonames:alternateName|0.9)))	The link will be generated if the geographical coordinates of the source and target are similar to within 0.9 or the labels of the source and target have a maximum jaro similarity of 0.9, or the alternate name of the target has a maximum jaro similarity of 0.9 with the label of the source.
average(max(levenshtein(b.rdfs:label,a.dbpedia:wikiPageRedirects|0.90),levenshtein(b.rdfs:label,a.foaf:name|0.90),levenshtein(b.rdfs:label,a.rdfs:label|0.90)),max(wgs84(b.openei:Property-3ACoordinates,a.wgs84:lat/wgs84:long|0.90)))	The link will be generated if the label of the source has maximum Levenshtein Distance with the label of the target's redirects, name, or itself, or if the coordinates of the source and the target have minimum WGS84 similarity.
average(wgs84(b.wgs84:lat/wgs84:long,a.wgs84:lat/wgs84:long|0.9),max(jaro(b.rdfs:label,a.geonames:name|0.9),jaro(b.rdfs:label,a.geonames:alternateName|0.9)))	The link will be generated if the geographic coordinates of the source and target are similar (within a distance of 0.9 degrees) or the labels of the source and target have maximum jaro similarity, or the alternate name of the target is similar to the label of the source.
average(wgs84(b.wgs84:lat/wgs84:long,a.wgs84:lat/wgs84:long|0.9),max(jaro(b.rdfs:label,a.rdfs:label|0.9)))	The link will be generated if the coordinates of the source and target have average proximity within 0.9 kilometers or the labels of the source and target have maximum jaro similarity of 0.9.
max(jaro(b.rdfs:label,a.dbpedia-owl:spokenIn|0.90))	The link will be generated if the labels of the source and target have a jaro similarity of at least 0.9, specifically considering the spoken-in relationship.
average(levenshtein(b.foaf:name,a.foaf:name|0.92))	The link will be generated if the names of the source and target have an average Levenshtein distance of 0.92.
average(wgs84(b.geo:lat/geo:long,a.geo:lat/geo:long|0.75))	The link will be generated if the latitude and longitude of the source and target are within a maximum distance of 0.75 kilometers.
ADD(0.5*Equality(a.rdfs:label, b.rdfs:label), 0.5*WGS84(a.geo:lat, b.geo:lat))	The link will be generated if the labels of the source and target have at least 50% similarity or the latitude coordinates of the source and target are equal.
average(max(levenshtein(b.geonames:alternateName,a.foaf:name|0.90),levenshtein(b.geonames:name,a.foaf:name|0.90),levenshtein(b.geonames:name,a.dbpedia-prop:name|0.90),levenshtein(b.geonames:alternateName,a.dbpedia-prop:name|0.90),levenshtein(b.geonames:name,a.rdfs:label|0.90),levenshtein(b.geonames:alternateName,a.rdfs:label|0.90),levenshtein(b.geonames:name,a.dbpedia:wikiPageRedirects|0.90),levenshtein(b.geonames:alternateName,a.dbpedia:wikiPageRedirects|0.90)),max(wgs84(b.wgs84:lat/wgs84:long,a.wgs84:lat/wgs84:long|0.90)))	The link will be generated if the names of the source and target have maximum levenshtein distance or the coordinates of the source and target have maximum wgs84 distance.
