0	1
OR(OR(OR(matchrating(x.givenName,y.givenName)|0.82,OR(OR(nysiis(x.workDescription,y.workDescription)|0.25,matchrating(x.givenName,y.givenName)|0.25)|0.82,overlap(x.workDescription,y.workDescription)|0.82)|0.25)|0.25,overlap(x.givenName,y.givenName)|0.82)|0.82,matchrating(x.workDescription,y.workDescription)|0.25)	The link will be generated if the givenName of the source and the target resources has an 82% of Matchrating similarity or the resource's workDescription of the source and the resource's iis(x.workDescription,y.workDescription of the target has a 25% of Nysiis similarity or the givenName of the source and the target resources has a 25% of Matchrating similarity or the workDescription of the source and the target resources has an 82% of Overlap similarity or the givenName of the source and the target resources has an 82% of Overlap similarity or the workDescription of the source and the target resources has a 25% of Matchrating similarity
OR(AND(OR(levenshtein(x.title,y.authors)|0.0,AND(OR(trigrams(x.authors,y.authors)|0.55,daitchmokotoff(x.title,y.title)|0.0)|0.0,trigrams(x.title,y.authors)|0.55)|0.0)|0.0,daitchmokotoff(x.authors,y.title)|0.55)|0.0,OR(trigrams(x.title,y.title)|0.0,cosine(x.title,y.title)|0.55)|0.55)	The link will be generated if the resource's title of the source and the resource's author of the target has a complete mismatch of Levenshtein similarity or the author of the source and the target resources has a 55% of Trigrams similarity or the title of the source and the target resources has a complete mismatch of Daitchmokotoff similarity and the resource's title of the source and the resource's author of the target has a 55% of Trigrams similarity and the resource's author of the source and the resource's title of the target has a 55% of Daitchmokotoff similarity or the title of the source and the target resources has a complete mismatch of Trigrams similarity or a 55% of Cosine similarity
AND(AND(AND(doublemeta(x.name,y.name)|0.0,AND(AND(Koeln(x.director,y.director)|0.55,nysiis(x.director,y.director)|0.55)|0.0,doublemeta(x.director,y.name)|0.0)|0.55)|0.55,Koeln(x.director,y.name)|0.0)|0.0,doublemeta(x.name,y.director)|0.55)	The link will be generated if the name of the source and the target resources has a complete mismatch of Doublemeta similarity and the director of the source and the target resources has a 55% of Koeln similarity and the resource's director of the source and the resource's iis(x.director,y.director of the target has a 55% of Nysiis similarity and the resource's director of the source and the resource's name of the target has a complete mismatch of Doublemeta similarity and a complete mismatch of Koeln similarity and the resource's name of the source and the resource's director of the target has a 55% of Doublemeta similarity
OR(AND(jaccard(x.comment,y.workDescription)|0.45,OR(AND(matchrating(x.comment,y.workDescription)|0.25,Koeln(x.workDescription,y.workDescription)|0.45)|0.45,soundex(x.comment,y.workDescription)|0.25)|0.45)|0.45,matchrating(x.workDescription,y.workDescription)|0.25)	The link will be generated if the resource's comment of the source and the resource's workDescription of the target has a 45% of Jaccard similarity and a 25% of Matchrating similarity and the workDescription of the source and the target resources has a 45% of Koeln similarity or the resource's x.comment of the source and the resource's workDescription of the target has a 25% of Soundex similarity or the workDescription of the source and the target resources has a 25% of Matchrating similarity
OR(OR(nysiis(x.name,y.streetname)|0.82,OR(OR(qgrams(x.name,y.streetname)|0.55,levenshtein(x.streetname,y.streetname)|0.82)|0.82,daitchmokotoff(x.name,y.streetname)|0.55)|0.82)|0.82,qgrams(x.streetname,y.streetname)|0.55)	The link will be generated if the resource's name of the source and the resource's iis(x.name,y.streetname of the target has an 82% of Nysiis similarity or the resource's name of the source and the resource's streetname of the target has a 55% of Qgrams similarity or the streetname of the source and the target resources has an 82% of Levenshtein similarity or the resource's name of the source and the resource's streetname of the target has a 55% of Daitchmokotoff similarity or the streetname of the source and the target resources has a 55% of Qgrams similarity
OR(OR(OR(Koeln(x.name,y.name)|0.0,jaccard(x.name,y.name)|0.25)|0.0,AND(Koeln(x.authors,y.authors)|0.0,jaccard(x.name,y.name)|0.25)|0.25)|0.0,OR(OR(OR(matchrating(x.name,y.name)|0.0,AND(OR(jaccard(x.authors,y.authors)|0.25,matchrating(x.name,y.name)|0.25)|0.0,Koeln(x.authors,y.authors)|0.0)|0.25)|0.25,Koeln(x.name,y.name)|0.0)|0.0,matchrating(x.authors,y.authors)|0.25)|0.25)	The link will be generated if the name of the source and the target resources has a complete mismatch of Koeln similarity or a 25% of Jaccard similarity and the author of the source and the target resources has a complete mismatch of Koeln similarity and the name of the source and the target resources has a 25% of Jaccard similarity or a complete mismatch of Matchrating similarity or the author of the source and the target resources has a 25% of Jaccard similarity or the name of the source and the target resources has a 25% of Matchrating similarity and the author of the source and the target resources has a complete mismatch of Koeln similarity or the name of the source and the target resources has a complete mismatch of Koeln similarity or the author of the source and the target resources has a 25% of Matchrating similarity
AND(OR(Koeln(x.comment,y.authors)|0.45,AND(OR(trigrams(x.authors,y.authors)|0.25,refinedsoundex(x.comment,y.comment)|0.45)|0.45,trigrams(x.comment,y.authors)|0.25)|0.45)|0.45,refinedsoundex(x.authors,y.comment)|0.25)	The link will be generated if the resource's comment of the source and the resource's author of the target has a 45% of Koeln similarity or the author of the source and the target resources has a 25% of Trigrams similarity or the resource's x.comment of the source and the resource's comment of the target has a 45% of Refinedsoundex similarity and the resource's comment of the source and the resource's author of the target has a 25% of Trigrams similarity and the resource's x.authors of the source and the resource's comment of the target has a 25% of Refinedsoundex similarity
AND(AND(OR(ratcliff(x.comment,y.comment)|0.0,OR(AND(jaroWinkler(x.director,y.director)|0.55,cosine(x.director,y.director)|0.55)|0.0,ratcliff(x.director,y.comment)|0.0)|0.55)|0.55,jaroWinkler(x.director,y.comment)|0.0)|0.0,ratcliff(x.comment,y.director)|0.55)	The link will be generated if the comment of the source and the target resources has a complete mismatch of Ratcliff similarity and the director of the source and the target resources has a 55% of Jarowinkler similarity and a 55% of Cosine similarity or the resource's director of the source and the resource's comment of the target has a complete mismatch of Ratcliff similarity and a complete mismatch of Jarowinkler similarity and the resource's comment of the source and the resource's director of the target has a 55% of Ratcliff similarity
OR(OR(jaccard(x.name,y.description)|0.0,OR(OR(matchrating(x.name,y.description)|0.25,overlap(x.description,y.description)|0.0)|0.0,daitchmokotoff(x.name,y.description)|0.25)|0.0)|0.0,matchrating(x.description,y.description)|0.25)	The link will be generated if the resource's name of the source and the resource's description of the target has a complete mismatch of Jaccard similarity or a 25% of Matchrating similarity or the description of the source and the target resources has a complete mismatch of Overlap similarity or the resource's name of the source and the resource's description of the target has a 25% of Daitchmokotoff similarity or the description of the source and the target resources has a 25% of Matchrating similarity
OR(OR(OR(overlap(x.givenName,y.director)|0.82,OR(OR(matchrating(x.director,y.director)|0.55,meta(x.givenName,y.givenName)|0.82)|0.82,matchrating(x.givenName,y.director)|0.55)|0.82)|0.82,meta(x.director,y.givenName)|0.55)|0.82,OR(matchrating(x.givenName,y.givenName)|0.82,nysiis(x.givenName,y.givenName)|0.55)|0.55)	The link will be generated if the resource's givenName of the source and the resource's director of the target has an 82% of Overlap similarity or the director of the source and the target resources has a 55% of Matchrating similarity or the givenName of the source and the target resources has an 82% of Meta similarity or the resource's givenName of the source and the resource's director of the target has a 55% of Matchrating similarity or the resource's director of the source and the resource's givenName of the target has a 55% of Meta similarity or the givenName of the source and the target resources has an 82% of Matchrating similarity or the resource's givenName of the source and the resource's iis(x.givenName,y.givenName of the target has a 55% of Nysiis similarity
