0	1
overlap(x.name, y.director)|0.82 AND matchrating(x.director, y.director)|0.55 AND daitchmokotoff(x.name, y.name)|0.82 AND matchrating(x.name, y.director)|0.55 AND daitchmokotoff(x.director, y.name)|0.55 AND (matchrating(x.name, y.name)|0.82 AND nysiis(x.name, y.name)|0.55)	The link will be generated if the resource's name of the source and the resource's director of the target has an 82% of Overlap similarity and the director of the source and the target resources has a 55% of Matchrating similarity and the name of the source and the target resources has an 82% of Daitchmokotoff similarity and the resource's name of the source and the resource's director of the target has a 55% of Matchrating similarity and the resource's director of the source and the resource's name of the target has a 55% of Daitchmokotoff similarity and the name of the source and the target resources has an 82% of Matchrating similarity and the resource's name of the source and the resource's iis(x.name,y.name of the target has a 55% of Nysiis similarity
daitchmokotoff(x.firstName, y.firstName)|0.45 AND overlap(x.firstName, y.director)|0.55 AND nysiis(x.firstName, y.firstName)|0.45 OR overlap(x.firstName, y.firstName)|0.55	The link will be generated if the firstName of the source and the target resources has a 45% of Daitchmokotoff similarity and the resource's firstName of the source and the resource's director of the target has a 55% of Overlap similarity and the resource's firstName of the source and the resource's iis(x.firstName,y.firstName of the target has a 45% of Nysiis similarity and the firstName of the source and the target resources has a 55% of Overlap similarity and a 55% of Overlap similarity
qgrams(x.streetname, y.streetname)|1.0 AND levenshtein(x.givenName, y.streetname)|0.45 AND doublemeta(x.streetname, y.givenName)|1.0 OR qgrams(x.givenName, y.givenName)|1.0 AND doublemeta(x.givenName, y.givenName)|0.45 OR qgrams(x.streetname, y.givenName)|0.45 AND nysiis(x.givenName, y.givenName)|1.0	The link will be generated if the resource's givenName of the source and the resource's streetname of the target has a 45% of Levenshtein similarity or the streetname of the source and the target resources has an exact match of Qgrams similarity or the givenName of the source and the target resources has a 45% of Doublemeta similarity and the resource's givenName of the source and the resource's streetname of the target has an exact match of Qgrams similarity and the resource's streetname of the source and the resource's givenName of the target has an exact match of Doublemeta similarity or the givenName of the source and the target resources has a 45% of Qgrams similarity or the resource's givenName of the source and the resource's iis(x.givenName,y.givenName of the target has an exact match of Nysiis similarity
Koeln(x.comment, y.director)|0.45 AND (matchrating(x.director, y.director)|0.25 OR refinedsoundex(x.comment, y.comment)|0.45 OR matchrating(x.comment, y.director)|0.25) OR refinedsoundex(x.director, y.comment)|0.25 OR (matchrating(x.comment, x.comment)|0.45 OR nysiis(x.comment, y.comment)|0.25)	The link will be generated if the resource's comment of the source and the resource's director of the target has a 45% of Koeln similarity or the director of the source and the target resources has a 25% of Matchrating similarity or the resource's x.comment of the source and the resource's comment of the target has a 45% of Refinedsoundex similarity or the resource's comment of the source and the resource's director of the target has a 25% of Matchrating similarity or the resource's x.director of the source and the resource's comment of the target has a 25% of Refinedsoundex similarity or the comment of the source and the target resources has a 45% of Matchrating similarity or the resource's comment of the source and the resource's iis(x.comment,y.comment of the target has a 25% of Nysiis similarity
nysiis(x.firstName, y.director)|0.0 AND trigrams(x.firstName, y.director)|0.55 AND jaroWinkler(x.director, y.director)|0.0 AND soundex(x.firstName, y.director)|0.55 AND trigrams(x.director, y.director)|0.55	The link will be generated if the resource's firstName of the source and the resource's iis(x.firstName,y.director of the target has a complete mismatch of Nysiis similarity and the resource's firstName of the source and the resource's director of the target has a 55% of Trigrams similarity and the director of the source and the target resources has a complete mismatch of Jarowinkler similarity and the resource's x.firstName of the source and the resource's director of the target has a 55% of Soundex similarity and the director of the source and the target resources has a 55% of Trigrams similarity
matchrating(x.firstName,y.streetname)|0.0 AND overlap(x.firstName,y.streetname)|0.0 OR refinedsoundex(x.firstName,y.firstName)|0.0 AND matchrating(x.firstName,y.streetname)|0.55 OR matchrating(x.firstName,y.firstName)|0.0 AND cosine(x.firstName,y.firstName)|0.55	The link will be generated if the resource's firstName of the source and the resource's streetname of the target has a complete mismatch of Overlap similarity or the streetname of the source and the target resources has a 55% of Matchrating similarity or the resource's x.firstName of the source and the resource's firstName of the target has a complete mismatch of Refinedsoundex similarity or the resource's firstName of the source and the resource's streetname of the target has a 55% of Matchrating similarity or the resource's x.streetname of the source and the resource's firstName of the target has a 55% of Refinedsoundex similarity or the firstName of the source and the target resources has a complete mismatch of Matchrating similarity or a 55% of Cosine similarity
trigrams(x.authors, y.authors)|0.82 AND jaccard(x.givenName, y.authors)|1.0 AND jaroWinkler(x.givenName, y.givenName)|0.82 AND trigrams(x.givenName, y.authors)|1.0	The link will be generated if the author of the source and the target resources has an 82% of Trigrams similarity and the resource's givenName of the source and the resource's author of the target has an exact match of Jaccard similarity and the givenName of the source and the target resources has an 82% of Jarowinkler similarity and the resource's givenName of the source and the resource's author of the target has an exact match of Trigrams similarity
doublemeta(x.givenName, y.givenName)|0.0 AND (OR(mongeElkan(x.authors, y.authors)|0.25, jaccard(x.authors, y.authors)|0.25) OR doublemeta(x.authors, y.givenName)|0.0) AND mongeElkan(x.authors, y.givenName)|0.0 OR doublemeta(x.givenName, y.authors)|0.25	The link will be generated if the givenName of the source and the target resources has a complete mismatch of Doublemeta similarity or the author of the source and the target resources has a 25% of Mongeelkan similarity or a 25% of Jaccard similarity or the resource's author of the source and the resource's givenName of the target has a complete mismatch of Doublemeta similarity or a complete mismatch of Mongeelkan similarity or the resource's givenName of the source and the resource's author of the target has a 25% of Doublemeta similarity
jaroWinkler(x.firstName, y.director)|0.82 OR (matchrating(x.director, y.director)|0.55 OR refinedsoundex(x.firstName, y.firstName)|0.82 OR matchrating(x.firstName, y.director)|0.55) OR (refinedsoundex(x.director, y.firstName)|0.55 OR matchrating(x.firstName, x.firstName)|0.82 OR nysiis(x.firstName, y.firstName)|0.55)	The link will be generated if the resource's firstName of the source and the resource's director of the target has an 82% of Jarowinkler similarity or the director of the source and the target resources has a 55% of Matchrating similarity or the resource's x.firstName of the source and the resource's firstName of the target has an 82% of Refinedsoundex similarity or the resource's firstName of the source and the resource's director of the target has a 55% of Matchrating similarity or the resource's x.director of the source and the resource's firstName of the target has a 55% of Refinedsoundex similarity or the firstName of the source and the target resources has an 82% of Matchrating similarity or the resource's firstName of the source and the resource's iis(x.firstName,y.firstName of the target has a 55% of Nysiis similarity
overlap(x.title, y.workDescription)|0.0 AND (trigrams(x.workDescription, y.workDescription)|0.25 OR ratcliff(x.title, y.title)|0.0 OR trigrams(x.title, y.workDescription)|0.25) AND (ratcliff(x.workDescription, y.title)|0.25) OR (trigrams(x.title, y.title)|0.0 OR jaccard(x.title, y.title)|0.25)	The link will be generated if the resource's title of the source and the resource's workDescription of the target has a complete mismatch of Overlap similarity or the workDescription of the source and the target resources has a 25% of Trigrams similarity or the title of the source and the target resources has a complete mismatch of Ratcliff similarity and the resource's title of the source and the resource's workDescription of the target has a 25% of Trigrams similarity and the resource's workDescription of the source and the resource's title of the target has a 25% of Ratcliff similarity or the title of the source and the target resources has a complete mismatch of Trigrams similarity or a 25% of Jaccard similarity
