0	1
AND(OR(overlaps(x.geo,y.geo)|0.72,AND(OR(ratcliff(x.street,y.street)|0.44,ratcliff(x.street,y.street)|0.56)|0.44,ratcliff(x.street,y.street)|0.51)|0.43)|0.50,ratcliff(x.street,y.street)|0.56)	WENN sich die Geometrien zweier Entitäten zu mindestens 72 % überlappen ODER ihre Straßennamen (gemessen mit Ratcliff-Ähnlichkeit) mindestens 56 % ähnlich sind und ihre Namen ebenfalls moderat ähnlich sind, DANN könnten sie denselben Ort darstellen
AND(OR(contains(x.geo,y.geo)|0.51,AND(OR(cosine(x.city,y.city)|0.43,cosine(x.city,y.city)|0.52)|0.50,jaccard(x.city,y.city)|0.48)|0.55)|0.59,cosine(x.city,y.city)|0.52)	WENN eine Geometrie die andere zu mindestens 51 % enthält ODER die Städtenamen (Cosine-Ähnlichkeit) über 52 % liegen und die Jaccard-Ähnlichkeit der Städte 48 % beträgt, DANN könnten sie denselben Ort bezeichnen
AND(OR(adjacent(x.geo,y.geo)|0.42,AND(OR(qgrams(x.city,y.city)|0.38,ratcliff(x.street,y.street)|0.49)|0.43,jaccard(x.city,y.city)|0.49)|0.48)|0.55,ratcliff(x.street,y.street)|0.49)	WENN zwei Entitäten benachbart sind (z. B. angrenzende Gebäude) mit mindestens 42 % Wahrscheinlichkeit ODER ihre Stadt- und Straßennamen moderat ähnlich sind (Ratcliff und Jaccard), DANN gelten sie als potenziell gleichwertig
AND(OR(intersects(x.geo,y.geo)|0.69,AND(OR(ratcliff(x.street,y.street)|0.30,jaccard(x.city,y.city)|0.52)|0.43,jaroWinkler(x.street,y.street)|0.35)|0.42)|0.53,jaccard(x.city,y.city)|0.52)	WENN sich zwei geografische Bereiche zu mindestens 69 % überschneiden ODER ihre Straßen- und Städtenamen moderat ähnlich sind (Ratcliff ≥ 30 %, Jaccard ≥ 52 %), DANN sollten sie als verbunden betrachtet werden
AND(OR(overlaps(x.geo,y.geo)|0.45,AND(OR(jaccard(x.city,y.city)|0.51,ratcliff(x.street,y.street)|0.33)|0.43,levenshtein(x.city,y.city)|0.36)|0.53)|0.60,ratcliff(x.street,y.street)|0.33)	WENN sich zwei Bereiche zu mindestens 45 % überlappen ODER ihre Stadt- und Straßennamen (Jaccard und Ratcliff) moderat ähnlich sind und die Städtenamen (Levenshtein-Distanz) nah beieinander liegen, DANN beziehen sie sich wahrscheinlich auf dieselbe Entität
AND(OR(touches(x.geo,y.geo)|0.75,AND(OR(ratcliff(x.street,y.street)|0.39,levenshtein(x.city,y.city)|0.52)|0.53,levenshtein(x.city,y.city)|0.40)|0.55)|0.46,levenshtein(x.city,y.city)|0.52)	WENN sich die Geometrien mit mindestens 75 % Wahrscheinlichkeit an ihren Grenzen berühren ODER die Straßennamen und Städtenamen sehr ähnlich sind (Levenshtein ≥ 52 %), DANN sind sie wahrscheinlich verwandt
AND(OR(overlaps(x.geo,y.geo)|0.57,AND(OR(qgrams(x.city,y.city)|0.31,ratcliff(x.street,y.street)|0.42)|0.49,cosine(x.city,y.city)|0.42)|0.41)|0.41,ratcliff(x.street,y.street)|0.42)	WENN sich die Geometrien zu 57 % überlappen ODER die Stadt- und Straßennamen eine hohe Ratcliff- und Cosine-Ähnlichkeit aufweisen, DANN könnten sie denselben Ort bezeichnen
AND(OR(overlaps(x.geo,y.geo)|0.80,AND(OR(jaroWinkler(x.street,y.street)|0.34,jaroWinkler(x.street,y.street)|0.52)|0.46,jaroWinkler(x.street,y.street)|0.35)|0.43)|0.55,jaroWinkler(x.street,y.street)|0.52)	WENN sich die Geometrien zu mindestens 80 % überlappen ODER die Straßennamen (Jaro-Winkler) sehr ähnlich sind (über 52 %), DANN gelten sie als Übereinstimmung
AND(OR(touches(x.geo,y.geo)|0.89,AND(OR(jaroWinkler(x.street,y.street)|0.57,ratcliff(x.street,y.street)|0.54)|0.41,jaccard(x.city,y.city)|0.47)|0.40)|0.59,ratcliff(x.street,y.street)|0.54)	WENN sich die Geometrien mit 89 % Sicherheit berühren ODER die Straßennamen (Jaro-Winkler und Ratcliff) und Städtenamen (Jaccard) alle ähnlich sind, DANN beziehen sie sich wahrscheinlich auf denselben Ort
AND(OR(touches(x.geo,y.geo)|0.82,AND(OR(levenshtein(x.city,y.city)|0.46,cosine(x.city,y.city)|0.58)|0.56,ratcliff(x.street,y.street)|0.32)|0.40)|0.49,cosine(x.city,y.city)|0.58)	WENN sich die Bereiche mit 82 % Sicherheit berühren ODER Städtenamen (Levenshtein) und Straßennamen (Ratcliff) ähnlich sind, DANN beziehen sie sich möglicherweise auf dasselbe geografische Objekt
AND(OR(adjacent(x.geo,y.geo)|0.46,AND(OR(jaroWinkler(x.street,y.street)|0.38,jaroWinkler(x.street,y.street)|0.52)|0.41,jaccard(x.city,y.city)|0.54)|0.54)|0.42,jaroWinkler(x.street,y.street)|0.52)	WENN die Geometrien mit 46 % Wahrscheinlichkeit benachbart sind ODER die Straßennamen stark ähnlich sind (Jaro-Winkler) und die Städtenamen ähnlich sind (Jaccard), DANN verknüpfe sie
AND(OR(crosses(x.geo,y.geo)|0.56,AND(OR(jaccard(x.city,y.city)|0.46,jaroWinkler(x.street,y.street)|0.38)|0.45,levenshtein(x.city,y.city)|0.49)|0.53)|0.55,jaroWinkler(x.street,y.street)|0.38)	WENN eine Geometrie die andere mit 56 % Wahrscheinlichkeit kreuzt ODER Stadt- und Straßennamen moderate Jaccard- und Levenshtein-Ähnlichkeit aufweisen, DANN könnten sie verwandt sein
AND(OR(intersects(x.geo,y.geo)|0.71,AND(OR(jaroWinkler(x.street,y.street)|0.40,jaccard(x.city,y.city)|0.58)|0.56,jaroWinkler(x.street,y.street)|0.40)|0.56)|0.58,jaccard(x.city,y.city)|0.58)	WENN sich zwei Geometrien zu 71 % überschneiden ODER Stadt- und Straßennamen stark ähnlich sind (Jaccard ≥ 58 %, Jaro-Winkler ≥ 40 %), DANN behandle sie als Übereinstimmung
AND(OR(crosses(x.geo,y.geo)|0.59,AND(OR(ratcliff(x.street,y.street)|0.37,jaroWinkler(x.street,y.street)|0.46)|0.55,levenshtein(x.city,y.city)|0.56)|0.53)|0.49,jaroWinkler(x.street,y.street)|0.46)	WENN sich die Geometrien zu 59 % kreuzen ODER die Straßennamen und Städtenamen stark ähnlich sind (Jaro-Winkler, Levenshtein), DANN stellen die Entitäten wahrscheinlich denselben Ort dar
AND(OR(touches(x.geo,y.geo)|0.46,AND(OR(ratcliff(x.street,y.street)|0.57,qgrams(x.city,y.city)|0.57)|0.60,cosine(x.city,y.city)|0.33)|0.47)|0.56,qgrams(x.city,y.city)|0.57)	WENN sich die Geometrien zu 46 % berühren ODER Stadt- und Straßennamen (Q-grams, Ratcliff, Cosine) eine hohe Ähnlichkeit aufweisen, DANN beziehen sich die Entitäten wahrscheinlich auf dasselbe Objekt
